Values Prediction\True Class           ,electronic ,pop        ,punk       ,rock       
electronic ,84.0       ,71.0       ,19.0       ,35.0       
pop        ,54.0       ,50.0       ,14.0       ,45.0       
punk       ,41.0       ,33.0       ,129.0      ,58.0       
rock       ,18.0       ,43.0       ,35.0       ,59.0       
Percentages Prediction\True Class           ,electronic ,pop        ,punk       ,rock       
electronic ,0.43       ,0.36       ,0.1        ,0.18       
pop        ,0.27       ,0.25       ,0.07       ,0.23       
punk       ,0.21       ,0.17       ,0.65       ,0.29       
rock       ,0.09       ,0.22       ,0.18       ,0.3        
