Values Prediction\True Class           ,electronic ,pop        ,punk       ,rock       
electronic ,60.0       ,54.0       ,39.0       ,36.0       
pop        ,65.0       ,65.0       ,36.0       ,43.0       
punk       ,34.0       ,27.0       ,75.0       ,56.0       
rock       ,38.0       ,51.0       ,47.0       ,62.0       
Percentages Prediction\True Class           ,electronic ,pop        ,punk       ,rock       
electronic ,0.3        ,0.27       ,0.2        ,0.18       
pop        ,0.33       ,0.33       ,0.18       ,0.22       
punk       ,0.17       ,0.14       ,0.38       ,0.28       
rock       ,0.19       ,0.26       ,0.24       ,0.31       
