Values Prediction\True Class           ,electronic ,pop        ,punk       ,rock       
electronic ,40.0       ,50.0       ,48.0       ,53.0       
pop        ,50.0       ,46.0       ,53.0       ,47.0       
punk       ,58.0       ,45.0       ,54.0       ,47.0       
rock       ,49.0       ,56.0       ,42.0       ,50.0       
Percentages Prediction\True Class           ,electronic ,pop        ,punk       ,rock       
electronic ,0.2        ,0.25       ,0.24       ,0.27       
pop        ,0.25       ,0.23       ,0.27       ,0.24       
punk       ,0.29       ,0.23       ,0.27       ,0.24       
rock       ,0.25       ,0.28       ,0.21       ,0.25       
