Values Prediction\True Class           ,electronic ,pop        ,punk       ,rock       
electronic ,79.0       ,89.0       ,77.0       ,88.0       
pop        ,54.0       ,44.0       ,54.0       ,45.0       
punk       ,22.0       ,29.0       ,40.0       ,30.0       
rock       ,42.0       ,35.0       ,26.0       ,34.0       
Percentages Prediction\True Class           ,electronic ,pop        ,punk       ,rock       
electronic ,0.4        ,0.45       ,0.39       ,0.45       
pop        ,0.27       ,0.22       ,0.27       ,0.23       
punk       ,0.11       ,0.15       ,0.2        ,0.15       
rock       ,0.21       ,0.18       ,0.13       ,0.17       
