Values Prediction\True Class           ,electronic ,pop        ,punk       ,rock       
electronic ,56.0       ,63.0       ,36.0       ,43.0       
pop        ,59.0       ,55.0       ,23.0       ,47.0       
punk       ,32.0       ,28.0       ,87.0       ,62.0       
rock       ,50.0       ,51.0       ,51.0       ,45.0       
Percentages Prediction\True Class           ,electronic ,pop        ,punk       ,rock       
electronic ,0.28       ,0.32       ,0.18       ,0.22       
pop        ,0.3        ,0.28       ,0.12       ,0.24       
punk       ,0.16       ,0.14       ,0.44       ,0.31       
rock       ,0.25       ,0.26       ,0.26       ,0.23       
