Values Prediction\True Class           ,electronic ,pop        ,punk       ,rock       
electronic ,90.0       ,72.0       ,75.0       ,88.0       
pop        ,47.0       ,58.0       ,57.0       ,39.0       
punk       ,29.0       ,41.0       ,34.0       ,28.0       
rock       ,31.0       ,26.0       ,31.0       ,42.0       
Percentages Prediction\True Class           ,electronic ,pop        ,punk       ,rock       
electronic ,0.46       ,0.37       ,0.38       ,0.45       
pop        ,0.24       ,0.29       ,0.29       ,0.2        
punk       ,0.15       ,0.21       ,0.17       ,0.14       
rock       ,0.16       ,0.13       ,0.16       ,0.21       
