Values Prediction\True Class           ,electronic ,pop        ,punk       ,rock       
electronic ,66.0       ,69.0       ,39.0       ,39.0       
pop        ,42.0       ,55.0       ,28.0       ,51.0       
punk       ,38.0       ,33.0       ,78.0       ,57.0       
rock       ,51.0       ,40.0       ,52.0       ,50.0       
Percentages Prediction\True Class           ,electronic ,pop        ,punk       ,rock       
electronic ,0.34       ,0.35       ,0.2        ,0.2        
pop        ,0.21       ,0.28       ,0.14       ,0.26       
punk       ,0.19       ,0.17       ,0.4        ,0.29       
rock       ,0.26       ,0.2        ,0.26       ,0.25       
