Values Prediction\True Class           ,electronic ,pop        ,punk       ,rock       
electronic ,99.0       ,85.0       ,52.0       ,81.0       
pop        ,49.0       ,57.0       ,28.0       ,43.0       
punk       ,18.0       ,21.0       ,83.0       ,37.0       
rock       ,31.0       ,34.0       ,34.0       ,36.0       
Percentages Prediction\True Class           ,electronic ,pop        ,punk       ,rock       
electronic ,0.5        ,0.43       ,0.26       ,0.41       
pop        ,0.25       ,0.29       ,0.14       ,0.22       
punk       ,0.09       ,0.11       ,0.42       ,0.19       
rock       ,0.16       ,0.17       ,0.17       ,0.18       
