Values Prediction\True Class           ,electronic ,pop        ,punk       ,rock       
electronic ,65.0       ,51.0       ,42.0       ,44.0       
pop        ,32.0       ,26.0       ,23.0       ,33.0       
punk       ,36.0       ,33.0       ,53.0       ,34.0       
rock       ,64.0       ,87.0       ,79.0       ,86.0       
Percentages Prediction\True Class           ,electronic ,pop        ,punk       ,rock       
electronic ,0.33       ,0.26       ,0.21       ,0.22       
pop        ,0.16       ,0.13       ,0.12       ,0.17       
punk       ,0.18       ,0.17       ,0.27       ,0.17       
rock       ,0.32       ,0.44       ,0.4        ,0.44       
