Values Prediction\True Class           ,electronic ,pop        ,punk       ,rock       
electronic ,47.0       ,59.0       ,58.0       ,50.0       
pop        ,44.0       ,49.0       ,37.0       ,53.0       
punk       ,56.0       ,43.0       ,42.0       ,39.0       
rock       ,50.0       ,46.0       ,60.0       ,55.0       
Percentages Prediction\True Class           ,electronic ,pop        ,punk       ,rock       
electronic ,0.24       ,0.3        ,0.29       ,0.25       
pop        ,0.22       ,0.25       ,0.19       ,0.27       
punk       ,0.28       ,0.22       ,0.21       ,0.2        
rock       ,0.25       ,0.23       ,0.3        ,0.28       
