Values Prediction\True Class           ,electronic ,pop        ,punk       ,rock       
electronic ,107.0      ,87.0       ,57.0       ,79.0       
pop        ,41.0       ,52.0       ,27.0       ,49.0       
punk       ,19.0       ,23.0       ,83.0       ,36.0       
rock       ,30.0       ,35.0       ,30.0       ,33.0       
Percentages Prediction\True Class           ,electronic ,pop        ,punk       ,rock       
electronic ,0.54       ,0.44       ,0.29       ,0.4        
pop        ,0.21       ,0.26       ,0.14       ,0.25       
punk       ,0.1        ,0.12       ,0.42       ,0.18       
rock       ,0.15       ,0.18       ,0.15       ,0.17       
