Values Prediction\True Class           ,electronic ,pop        ,punk       ,rock       
electronic ,93.0       ,89.0       ,80.0       ,87.0       
pop        ,51.0       ,41.0       ,52.0       ,51.0       
punk       ,29.0       ,42.0       ,38.0       ,27.0       
rock       ,24.0       ,25.0       ,27.0       ,32.0       
Percentages Prediction\True Class           ,electronic ,pop        ,punk       ,rock       
electronic ,0.47       ,0.45       ,0.41       ,0.44       
pop        ,0.26       ,0.21       ,0.26       ,0.26       
punk       ,0.15       ,0.21       ,0.19       ,0.14       
rock       ,0.12       ,0.13       ,0.14       ,0.16       
