Values Prediction\True Class           ,electronic ,pop        ,punk       ,rock       
electronic ,45.0       ,43.0       ,47.0       ,49.0       
pop        ,52.0       ,57.0       ,52.0       ,59.0       
punk       ,45.0       ,57.0       ,51.0       ,32.0       
rock       ,55.0       ,40.0       ,47.0       ,57.0       
Percentages Prediction\True Class           ,electronic ,pop        ,punk       ,rock       
electronic ,0.23       ,0.22       ,0.24       ,0.25       
pop        ,0.26       ,0.29       ,0.26       ,0.3        
punk       ,0.23       ,0.29       ,0.26       ,0.16       
rock       ,0.28       ,0.2        ,0.24       ,0.29       
