Values Prediction\True Class           ,electronic ,pop        ,punk       ,rock       
electronic ,102.0      ,88.0       ,50.0       ,74.0       
pop        ,44.0       ,47.0       ,31.0       ,44.0       
punk       ,22.0       ,24.0       ,81.0       ,43.0       
rock       ,29.0       ,38.0       ,35.0       ,36.0       
Percentages Prediction\True Class           ,electronic ,pop        ,punk       ,rock       
electronic ,0.52       ,0.45       ,0.25       ,0.38       
pop        ,0.22       ,0.24       ,0.16       ,0.22       
punk       ,0.11       ,0.12       ,0.41       ,0.22       
rock       ,0.15       ,0.19       ,0.18       ,0.18       
