Values Prediction\True Class           ,electronic ,pop        ,punk       ,rock       
electronic ,94.0       ,64.0       ,18.0       ,40.0       
pop        ,20.0       ,45.0       ,7.0        ,19.0       
punk       ,44.0       ,36.0       ,130.0      ,62.0       
rock       ,39.0       ,52.0       ,42.0       ,76.0       
Percentages Prediction\True Class           ,electronic ,pop        ,punk       ,rock       
electronic ,0.48       ,0.32       ,0.09       ,0.2        
pop        ,0.1        ,0.23       ,0.04       ,0.1        
punk       ,0.22       ,0.18       ,0.66       ,0.31       
rock       ,0.2        ,0.26       ,0.21       ,0.39       
