Values Prediction\True Class           ,electronic ,pop        ,punk       ,rock       
electronic ,59.0       ,58.0       ,29.0       ,37.0       
pop        ,64.0       ,56.0       ,32.0       ,51.0       
punk       ,37.0       ,40.0       ,78.0       ,52.0       
rock       ,37.0       ,43.0       ,58.0       ,57.0       
Percentages Prediction\True Class           ,electronic ,pop        ,punk       ,rock       
electronic ,0.3        ,0.29       ,0.15       ,0.19       
pop        ,0.32       ,0.28       ,0.16       ,0.26       
punk       ,0.19       ,0.2        ,0.4        ,0.26       
rock       ,0.19       ,0.22       ,0.29       ,0.29       
