Values Prediction\True Class           ,electronic ,pop        ,punk       ,rock       
electronic ,83.0       ,65.0       ,16.0       ,35.0       
pop        ,41.0       ,40.0       ,8.0        ,36.0       
punk       ,47.0       ,38.0       ,135.0      ,62.0       
rock       ,26.0       ,54.0       ,38.0       ,64.0       
Percentages Prediction\True Class           ,electronic ,pop        ,punk       ,rock       
electronic ,0.42       ,0.33       ,0.08       ,0.18       
pop        ,0.21       ,0.2        ,0.04       ,0.18       
punk       ,0.24       ,0.19       ,0.69       ,0.31       
rock       ,0.13       ,0.27       ,0.19       ,0.32       
