Values Prediction\True Class           ,electronic ,pop        ,punk       ,rock       
electronic ,87.0       ,85.0       ,80.0       ,76.0       
pop        ,54.0       ,55.0       ,47.0       ,57.0       
punk       ,19.0       ,25.0       ,37.0       ,27.0       
rock       ,37.0       ,32.0       ,33.0       ,37.0       
Percentages Prediction\True Class           ,electronic ,pop        ,punk       ,rock       
electronic ,0.44       ,0.43       ,0.41       ,0.39       
pop        ,0.27       ,0.28       ,0.24       ,0.29       
punk       ,0.1        ,0.13       ,0.19       ,0.14       
rock       ,0.19       ,0.16       ,0.17       ,0.19       
