Values Prediction\True Class           ,electronic ,pop        ,punk       ,rock       
electronic ,50.0       ,55.0       ,42.0       ,49.0       
pop        ,61.0       ,45.0       ,39.0       ,56.0       
punk       ,33.0       ,51.0       ,72.0       ,30.0       
rock       ,53.0       ,46.0       ,44.0       ,62.0       
Percentages Prediction\True Class           ,electronic ,pop        ,punk       ,rock       
electronic ,0.25       ,0.28       ,0.21       ,0.25       
pop        ,0.31       ,0.23       ,0.2        ,0.28       
punk       ,0.17       ,0.26       ,0.37       ,0.15       
rock       ,0.27       ,0.23       ,0.22       ,0.31       
