Values Prediction\True Class           ,electronic ,pop        ,punk       ,rock       
electronic ,62.0       ,63.0       ,43.0       ,49.0       
pop        ,50.0       ,22.0       ,37.0       ,38.0       
punk       ,26.0       ,38.0       ,45.0       ,22.0       
rock       ,59.0       ,74.0       ,72.0       ,88.0       
Percentages Prediction\True Class           ,electronic ,pop        ,punk       ,rock       
electronic ,0.31       ,0.32       ,0.22       ,0.25       
pop        ,0.25       ,0.11       ,0.19       ,0.19       
punk       ,0.13       ,0.19       ,0.23       ,0.11       
rock       ,0.3        ,0.38       ,0.37       ,0.45       
