Values Prediction\True Class           ,electronic ,pop        ,punk       ,rock       
electronic ,39.0       ,39.0       ,24.0       ,33.0       
pop        ,33.0       ,23.0       ,30.0       ,28.0       
punk       ,41.0       ,50.0       ,57.0       ,44.0       
rock       ,84.0       ,85.0       ,86.0       ,92.0       
Percentages Prediction\True Class           ,electronic ,pop        ,punk       ,rock       
electronic ,0.2        ,0.2        ,0.12       ,0.17       
pop        ,0.17       ,0.12       ,0.15       ,0.14       
punk       ,0.21       ,0.25       ,0.29       ,0.22       
rock       ,0.43       ,0.43       ,0.44       ,0.47       
