Values Prediction\True Class           ,electronic ,pop        ,punk       ,rock       
electronic ,50.0       ,31.0       ,26.0       ,32.0       
pop        ,23.0       ,31.0       ,30.0       ,26.0       
punk       ,21.0       ,23.0       ,20.0       ,15.0       
rock       ,103.0      ,112.0      ,121.0      ,124.0      
Percentages Prediction\True Class           ,electronic ,pop        ,punk       ,rock       
electronic ,0.25       ,0.16       ,0.13       ,0.16       
pop        ,0.12       ,0.16       ,0.15       ,0.13       
punk       ,0.11       ,0.12       ,0.1        ,0.08       
rock       ,0.52       ,0.57       ,0.61       ,0.63       
