Values Prediction\True Class           ,electronic ,pop        ,punk       ,rock       
electronic ,63.0       ,46.0       ,46.0       ,49.0       
pop        ,55.0       ,62.0       ,58.0       ,54.0       
punk       ,47.0       ,52.0       ,48.0       ,42.0       
rock       ,32.0       ,37.0       ,45.0       ,52.0       
Percentages Prediction\True Class           ,electronic ,pop        ,punk       ,rock       
electronic ,0.32       ,0.23       ,0.23       ,0.25       
pop        ,0.28       ,0.31       ,0.29       ,0.27       
punk       ,0.24       ,0.26       ,0.24       ,0.21       
rock       ,0.16       ,0.19       ,0.23       ,0.26       
