Values Prediction\True Class           ,electronic ,pop        ,punk       ,rock       
electronic ,74.0       ,41.0       ,49.0       ,40.0       
pop        ,29.0       ,38.0       ,21.0       ,19.0       
punk       ,22.0       ,21.0       ,40.0       ,27.0       
rock       ,72.0       ,97.0       ,87.0       ,111.0      
Percentages Prediction\True Class           ,electronic ,pop        ,punk       ,rock       
electronic ,0.38       ,0.21       ,0.25       ,0.2        
pop        ,0.15       ,0.19       ,0.11       ,0.1        
punk       ,0.11       ,0.11       ,0.2        ,0.14       
rock       ,0.37       ,0.49       ,0.44       ,0.56       
