Values Prediction\True Class           ,electronic ,pop        ,punk       ,rock       
electronic ,100.0      ,82.0       ,24.0       ,52.0       
pop        ,23.0       ,33.0       ,12.0       ,26.0       
punk       ,34.0       ,28.0       ,118.0      ,53.0       
rock       ,40.0       ,54.0       ,43.0       ,66.0       
Percentages Prediction\True Class           ,electronic ,pop        ,punk       ,rock       
electronic ,0.51       ,0.42       ,0.12       ,0.26       
pop        ,0.12       ,0.17       ,0.06       ,0.13       
punk       ,0.17       ,0.14       ,0.6        ,0.27       
rock       ,0.2        ,0.27       ,0.22       ,0.34       
