Values Prediction\True Class           ,electronic ,pop        ,punk       ,rock       
electronic ,55.0       ,59.0       ,40.0       ,35.0       
pop        ,67.0       ,59.0       ,20.0       ,42.0       
punk       ,33.0       ,32.0       ,90.0       ,63.0       
rock       ,42.0       ,47.0       ,47.0       ,57.0       
Percentages Prediction\True Class           ,electronic ,pop        ,punk       ,rock       
electronic ,0.28       ,0.3        ,0.2        ,0.18       
pop        ,0.34       ,0.3        ,0.1        ,0.21       
punk       ,0.17       ,0.16       ,0.46       ,0.32       
rock       ,0.21       ,0.24       ,0.24       ,0.29       
