Values Prediction\True Class           ,electronic ,pop        ,punk       ,rock       
electronic ,33.0       ,34.0       ,23.0       ,33.0       
pop        ,49.0       ,35.0       ,42.0       ,39.0       
punk       ,49.0       ,53.0       ,54.0       ,65.0       
rock       ,66.0       ,75.0       ,78.0       ,60.0       
Percentages Prediction\True Class           ,electronic ,pop        ,punk       ,rock       
electronic ,0.17       ,0.17       ,0.12       ,0.17       
pop        ,0.25       ,0.18       ,0.21       ,0.2        
punk       ,0.25       ,0.27       ,0.27       ,0.33       
rock       ,0.34       ,0.38       ,0.4        ,0.3        
