Values Prediction\True Class           ,electronic ,pop        ,punk       ,rock       
electronic ,53.0       ,64.0       ,49.0       ,43.0       
pop        ,54.0       ,38.0       ,44.0       ,44.0       
punk       ,39.0       ,49.0       ,59.0       ,57.0       
rock       ,51.0       ,46.0       ,45.0       ,53.0       
Percentages Prediction\True Class           ,electronic ,pop        ,punk       ,rock       
electronic ,0.27       ,0.32       ,0.25       ,0.22       
pop        ,0.27       ,0.19       ,0.22       ,0.22       
punk       ,0.2        ,0.25       ,0.3        ,0.29       
rock       ,0.26       ,0.23       ,0.23       ,0.27       
