Values Prediction\True Class           ,electronic ,pop        ,punk       ,rock       
electronic ,67.0       ,59.0       ,34.0       ,45.0       
pop        ,49.0       ,49.0       ,35.0       ,43.0       
punk       ,35.0       ,38.0       ,84.0       ,48.0       
rock       ,46.0       ,51.0       ,44.0       ,61.0       
Percentages Prediction\True Class           ,electronic ,pop        ,punk       ,rock       
electronic ,0.34       ,0.3        ,0.17       ,0.23       
pop        ,0.25       ,0.25       ,0.18       ,0.22       
punk       ,0.18       ,0.19       ,0.43       ,0.24       
rock       ,0.23       ,0.26       ,0.22       ,0.31       
