Values Prediction\True Class           ,electronic ,pop        ,punk       ,rock       
electronic ,57.0       ,48.0       ,43.0       ,52.0       
pop        ,46.0       ,46.0       ,53.0       ,46.0       
punk       ,44.0       ,52.0       ,48.0       ,46.0       
rock       ,50.0       ,51.0       ,53.0       ,53.0       
Percentages Prediction\True Class           ,electronic ,pop        ,punk       ,rock       
electronic ,0.29       ,0.24       ,0.22       ,0.26       
pop        ,0.23       ,0.23       ,0.27       ,0.23       
punk       ,0.22       ,0.26       ,0.24       ,0.23       
rock       ,0.25       ,0.26       ,0.27       ,0.27       
