Values Prediction\True Class           ,electronic ,pop        ,punk       ,rock       
electronic ,58.0       ,53.0       ,34.0       ,42.0       
pop        ,77.0       ,62.0       ,85.0       ,83.0       
punk       ,23.0       ,27.0       ,21.0       ,32.0       
rock       ,39.0       ,55.0       ,57.0       ,40.0       
Percentages Prediction\True Class           ,electronic ,pop        ,punk       ,rock       
electronic ,0.29       ,0.27       ,0.17       ,0.21       
pop        ,0.39       ,0.31       ,0.43       ,0.42       
punk       ,0.12       ,0.14       ,0.11       ,0.16       
rock       ,0.2        ,0.28       ,0.29       ,0.2        
